"TIPO DE INVESTIMENTO";"DESCRIÇÃO";"VENCIMENTO";"TAXA NEGOCIADA";"QUANTIDADE";"VALOR APLICADO";"VALOR BRUTO";"VALOR LÍQUIDO";"RENDIMENTO R$";"RENDIMENTO %"
"Fundos de investimentos";"Órama Ouro FIM";;;276,35990637;R$ 1.000,00;R$ 887,69;R$ 887,69;-R$ 112,31;-11,23%
"Fundos de investimentos";"Somma Brasil FIA";;;63,70056454;R$ 100,00;R$ 107,11;R$ 106,03;R$ 7,11;7,11%
"Fundos de investimentos";"TG Liquidez I FI RF";;;422,65594143999999;R$ 584,12;R$ 716,77;R$ 714,43;R$ 132,65;22,71%
"Fundos de investimentos";"V8 Cash FIC FIRF";;;275,12271093;R$ 293,05;R$ 351,24;R$ 350,22;R$ 58,19;19,86%
"Fundos de investimentos";"Vinci Valorem FI Multimercado";;;19,3810972699999984;R$ 4.411,43;R$ 5.107,74;R$ 5.099,57;R$ 696,31;15,78%
"Tesouro Direto";"Tesouro IPCA+ 2024";15/08/2024;"IPCA";0,02;R$ 53,44;R$ 73,09;R$ 70,14;R$ 19,65;36,77%
"Tesouro Direto";"Tesouro Selic 2024";01/09/2024;"SELIC";0,77;R$ 8.662,53;R$ 9.830,88;R$ 9.615,17;R$ 1.168,35;13,49%
"Tesouro Direto";"Tesouro Selic 2025";01/03/2025;"SELIC";4,29;R$ 48.977,62;R$ 54.755,55;R$ 53.743,31;R$ 5.777,93;11,80%
"Tesouro Direto";"Tesouro Selic 2027";01/03/2027;"SELIC";5,72;R$ 64.223,96;R$ 72.550,25;R$ 71.013,72;R$ 8.326,29;12,96%
"Tesouro Direto";"Tesouro IPCA+ 2035";15/05/2035;"IPCA";0,07;R$ 79,28;R$ 129,99;R$ 122,37;R$ 50,71;63,96%
"Tesouro Direto";"Tesouro IPCA+ 2045";15/05/2045;"IPCA";0,05;R$ 71,07;R$ 48,44;R$ 48,44;-R$ 22,63;-31,84%
"BDR";"AURA33";;"";5,0;;R$ 208,50;;R$ 0,00;0,00%
"Ação";"B3SA3";;"";30,0;;R$ 388,80;;R$ 0,00;0,00%
"Ação";"BRFS3";;"";19,0;;R$ 151,24;;R$ 0,00;0,00%
"Ação";"CAML3";;"";59,0;;R$ 489,11;;R$ 0,00;0,00%
"Ação";"CPLE11";;"";5,0;;R$ 188,05;;R$ 0,00;0,00%
"Ação";"CPLE6";;"";90,0;;R$ 699,30;;R$ 0,00;0,00%
"Ação";"CSUD3";;"";18,0;;R$ 201,06;;R$ 0,00;0,00%
"Ação";"ENEV3";;"";56,0;;R$ 672,00;;R$ 0,00;0,00%
"Ação";"FESA4";;"";22,0;;R$ 1.247,84;;R$ 0,00;0,00%
"Ação";"HAPV3";;"";17,0;;R$ 87,55;;R$ 0,00;0,00%
"Ação";"ITUB4";;"";15,0;;R$ 379,72;;R$ 0,00;0,00%
"Ação";"MGLU3";;"";75,0;;R$ 332,25;;R$ 0,00;0,00%
"Ação";"MULT3";;"";11,0;;R$ 261,69;;R$ 0,00;0,00%
"BDR";"NUBR33";;"";1,0;;R$ 3,86;;R$ 0,00;0,00%
"Ação";"PETZ3";;"";19,0;;R$ 137,56;;R$ 0,00;0,00%
"Ação";"SLCE3";;"";12,0;;R$ 615,60;;R$ 0,00;0,00%
"Ação";"SMTO3";;"";15,0;;R$ 375,15;;R$ 0,00;0,00%
"Ação";"SQIA3";;"";6,0;;R$ 105,96;;R$ 0,00;0,00%
"Ação";"TAEE11";;"";14,0;;R$ 518,84;;R$ 0,00;0,00%
"Ação";"TOTS3";;"";16,0;;R$ 481,12;;R$ 0,00;0,00%
"Ação";"VALE3";;"";5,0;;R$ 472,55;;R$ 0,00;0,00%
"Ação";"VIVT3";;"";13,0;;R$ 543,66;;R$ 0,00;0,00%
"Ação";"WEGE3";;"";31,0;;R$ 1.185,44;;R$ 0,00;0,00%
